field_id,domain,entity,field_name,display_name,data_type,unit,example,description,related_reports
SF-0001,Metadata,ReportMeta,report_id,Report ID,string,-,CH-RPT-2026-07-EAST,Unique identifier for a single report instance,All reports
SF-0002,Metadata,ReportMeta,report_type,Report Type,enum,-,channel_analysis,Report type code,All reports
SF-0003,Metadata,ReportMeta,period,Reporting Period,string,-,2026-07,Month/week/day/custom interval,All reports
SF-0004,Metadata,ReportMeta,period_type,Period Type,enum,-,month,Period granularity,All reports
SF-0005,Metadata,ReportMeta,period_start,Period Start,date,-,2026-07-01,Statistics start date,All reports
SF-0006,Metadata,ReportMeta,period_end,Period End,date,-,2026-07-31,Statistics end date,All reports
SF-0007,Metadata,ReportMeta,generated_at,Generated At,datetime,-,2026-08-01T10:00:00+08:00,Report generation timestamp,All reports
SF-0008,Metadata,ReportMeta,data_as_of,Data As Of,datetime,-,2026-07-31T23:59:59+08:00,Data cutoff timestamp,All reports
SF-0009,Metadata,ReportMeta,run_id,Run ID,string,-,run_abc123,Agent/pipeline run identifier,All reports
SF-0010,Metadata,ReportMeta,producer_skill,Producer Skill,string,-,channel_analysis,Producer skill that writes to the shared layer,AI outputs
SF-0011,Metadata,ReportMeta,traffic_light,Traffic Light,enum,-,yellow,Red/yellow/green status indicator,Channel / alert reports
SF-0012,Metadata,ReportMeta,narrative_summary,NLG Summary,text,-,East region pickup achievement 83%; color stockout is the top anomaly driver,Natural-language summary,Weekly-monthly reports / dashboard
SF-0013,Metadata,ReportMeta,action_suggestions,Action Suggestions,json,-,"[""Replenish color production"",""Push for gold tier""]",Structured list of recommended actions,Channel / VoC / operations
SF-0014,Organization,Org,org_id,Organization ID,string,-,WZ-EAST,Unique organization node identifier,Channel / warzone reports
SF-0015,Organization,Org,org_name,Organization Name,string,-,East Warzone,Organization display name,Channel / warzone reports
SF-0016,Organization,Org,org_level,Organization Level,enum,-,warzone,Hierarchy level in the org tree,All business reports
SF-0017,Organization,Org,parent_org_id,Parent Organization ID,string,-,NATION-CN,Parent node in the organization tree,All business reports
SF-0018,Organization,Org,org_path,Organization Path,string,-,National/East/Jiangsu South/Tier1-A,Full hierarchical path,All business reports
SF-0019,Organization,Region,province,Province,string,-,Jiangsu,Administrative region — province,Renewal / VoC / channel
SF-0020,Organization,Region,city,City,string,-,Nanjing,Administrative region — city,Renewal / VoC / channel
SF-0021,Organization,Region,county_code,County Code,string,-,320115,National standard county/district code,Battle map / store opening
SF-0022,Organization,Region,county_name,County Name,string,-,Jiangning District,County/district name,Battle map / store opening
SF-0023,Channel Master Data,Dealer,dealer_id,Tier-1 / Dealer ID,string,-,DLR-3201,Unique dealer identifier,Pack A / C / E
SF-0024,Channel Master Data,Dealer,dealer_name,Dealer Name,string,-,Qingshu Nanjing Jiangning Tier-1 Network,Dealer name,Pack A / C / E
SF-0025,Channel Master Data,Dealer,legal_person,Legal Representative,string,-,Wang XX,Registered legal person,Risk control / franchise
SF-0026,Channel Master Data,Dealer,open_account_date,Account Opening Date,date,-,2024-03-12,Dealer account opening date,Pack E
SF-0027,Channel Master Data,Dealer,developer_name,Developer Name,string,-,Li Kaifa,Channel development owner,Pack E
SF-0028,Channel Master Data,Store,store_id,Store ID,string,-,ST-8891,Unique store identifier,Retail / inspection / Pack D
SF-0029,Channel Master Data,Store,store_name,Store Name,string,-,Qingshu Nanjing Jiangning Flagship Store,Store name,Retail / inspection
SF-0030,Channel Master Data,Store,store_address,Store Address,string,-,"No. 88 XX Road, Dongshan Subdistrict, Jiangning District",Full street address,Store opening / inspection
SF-0031,Channel Master Data,Store,store_type,Store Type,enum,-,exclusive,Store format type,Compliance / retail
SF-0032,Channel Master Data,Store,store_grade,Store Grade,enum,-,A,Store grade rating,Fit-out grading / Pack E
SF-0033,Channel Master Data,Store,store_area_sqm,Store Area,number,sqm,120,Floor area of the store,Fit-out grading
SF-0034,Channel Master Data,Store,biz_district,Business District,string,-,Dongshan Trade Area,Trade area for store-opening Gantt,Pack E
SF-0035,Channel Master Data,Guide,guide_id,Sales Guide ID,string,-,GD-1022,Sales guide staff identifier,Staff productivity diagnostics
SF-0036,Channel Master Data,Guide,channel_account_id,Social Account ID,string,-,DY-991,Douyin/Channels etc. account ID,Social matrix / productivity
SF-0037,Customer & User,Customer,customer_id,Customer ID,string,-,CUS-10086,Unified customer master data ID,Renewal / service / operations
SF-0038,Customer & User,Customer,phone_masked,Phone (Masked),string,-,138****5678,Masked mobile phone number,OneID / outreach
SF-0039,Customer & User,Customer,openid,OpenID,string,-,oxxx,WeChat OpenID,OneID
SF-0040,Customer & User,Customer,unionid,UnionID,string,-,uxxx,WeChat UnionID,OneID
SF-0041,Customer & User,Customer,identity_type,Identity Type,enum,-,end_user,User identity category,Ticket analysis
SF-0042,Customer & User,Customer,oneid,OneID,string,-,OID-9f3a,Cross-system unified identity,OneID report
SF-0043,Customer & User,Customer,oneid_match_method,OneID Match Method,enum,-,phone,Identity resolution method,OneID report
SF-0044,Customer & User,UserBehavior,app_register_flag,App Registered Flag,boolean,-,true,Whether the user registered in the app,Activation rate
SF-0045,Customer & User,UserBehavior,bind_vehicle_flag,Vehicle Bound Flag,boolean,-,true,Whether vehicle binding is complete,Activation rate / funnel
SF-0046,Customer & User,UserBehavior,last_active_at,Last Active At,datetime,-,2026-07-20T21:00:00+08:00,Last app/connected-vehicle activity time,Renewal / segmentation
SF-0047,Customer & User,UserBehavior,active_days_30d,Active Days (30d),int,days,12,Active days in the last 30 days,Renewal / segmentation
SF-0048,Customer & User,UserBehavior,mau_flag,MAU Flag,boolean,-,true,Whether counted as MAU in the calendar month,Activation rate / monthly report
SF-0049,Customer & User,UserBehavior,dau_flag,DAU Flag,boolean,-,false,Whether counted as DAU for the day,Activation rate
SF-0050,Customer & User,UserBehavior,rfm_segment,RFM Segment,enum,-,high_value,RFM customer segment,Segmentation report
SF-0051,Customer & User,UserBehavior,r_days,R Value (Days Since Last Activity),int,days,18,Recency — days since last activity,Segmentation report
SF-0052,Customer & User,UserBehavior,f_month,F Value (Monthly Interactions),int,times,7,Frequency — monthly interaction count,Segmentation report
SF-0053,Customer & User,UserBehavior,m_value,M Value (Value Contribution),number,CNY,860,Monetary value — parts/service spend etc.,Segmentation report
SF-0054,Customer & User,UserBehavior,first_touch_channel,First Touch Channel,string,-,400,First contact channel,Touchpoint heatmap
SF-0055,Customer & User,UserBehavior,last_touch_channel,Last Touch Channel,string,-,App,Most recent contact channel,Touchpoint heatmap
SF-0056,Customer & User,Renewal,service_expire_date,Service Expiry Date,date,-,2026-08-15,Connected-vehicle service expiry date,Renewal funnel
SF-0057,Customer & User,Renewal,due_renew_flag,Due Renew Flag,boolean,-,true,Whether due for renewal pool entry,Renewal funnel
SF-0058,Customer & User,Renewal,paid_flag,Paid Flag,boolean,-,false,Whether payment occurred (distinguish new vs renewal),Renewal funnel
SF-0059,Customer & User,Renewal,paid_type,Paid Type,enum,-,renew,Payment type,Renewal funnel
SF-0060,Customer & User,Renewal,active_t30_flag,Active T-30 Flag,boolean,-,true,Active within 30 days before expiry,Renewal funnel
SF-0061,Customer & User,Renewal,active_t7_flag,Active T-7 Flag,boolean,-,false,Active within 7 days before expiry,Renewal funnel
SF-0062,Customer & User,Renewal,sleep_90d_app_flag,App Sleep 90d Flag,boolean,-,true,No app usage in the last 90 days,Renewal funnel
SF-0063,Customer & User,Renewal,active_90d_4g_flag,4G Active 90d Flag,boolean,-,true,4G vehicle with connectivity in last 90 days,Renewal funnel
SF-0064,Customer & User,Renewal,renew_intent_score,Renew Intent Score,number,0-1,0.78,Model/rule-based renewal intent score,Renewal scorecard
SF-0065,Customer & User,Renewal,renew_pool_layer,Renew Pool Layer,enum,-,T-30,Renewal pool tier,Renewal pool scrubbing
SF-0066,Customer & User,Renewal,outreach_channel,Outreach Channel,enum,-,ai_call,Outreach channel used,Outreach matrix
SF-0067,Customer & User,Renewal,intent_level,Call Intent Level,enum,-,high,Outbound call intent level,Renewal scorecard
SF-0068,Vehicle,Vehicle,vin,VIN,string,-,LQXXXX2026A0001,Vehicle identification number,Quality / VoC / IoT
SF-0069,Vehicle,Vehicle,frame_no,Frame Part No.,string,-,FR-778812,Frame component number for PDA binding,OBD / traceability
SF-0070,Vehicle,Vehicle,sn,Serial Number,string,-,SN-202607-8891,Production line serial number,Quality inspection
SF-0071,Vehicle,Vehicle,vehicle_model,Vehicle Model,string,-,E60,Model code/name,Nearly all reports
SF-0072,Vehicle,Vehicle,vehicle_config,Configuration Type,string,-,Lithium flagship trim,Trim/configuration tier,Fault analysis
SF-0073,Vehicle,Vehicle,color,Color,string,-,Matte black,Body color,Production planning / stockout / retail
SF-0074,Vehicle,Vehicle,battery_type,Battery Type,enum,-,lithium,Battery chemistry/type,Competitive / product
SF-0075,Vehicle,Vehicle,battery_spec,Battery Spec,string,-,48V24Ah,Voltage and amp-hour specification,Competitive / service
SF-0076,Vehicle,Vehicle,claimed_range_km,Claimed Range,number,km,80,Official rated range,Competitive / product
SF-0077,Vehicle,Vehicle,purchase_date,Purchase Date,date,-,2025-08-01,Customer purchase date,Activation rate breakdown
SF-0078,Vehicle,Vehicle,purchase_year,Purchase Year,int,year,2025,Year of purchase,Activation rate
SF-0079,Vehicle,Vehicle,is_smart_vehicle,Smart Vehicle Flag,boolean,-,true,Whether vehicle has 4G/connectivity,Renewal pool
SF-0080,Vehicle,Vehicle,plant,Manufacturing Plant,string,-,East China Plant 1,Production plant/site,Fault / quality
SF-0081,Vehicle,Vehicle,line_id,Production Line ID,string,-,LINE-03,Production line identifier,OBD
SF-0082,Vehicle,Vehicle,batch_no,Production Batch No.,string,-,BATCH-2026W28-E60,Vehicle production batch,Traceability / VoC
SF-0083,Vehicle,Vehicle,ota_version,OTA Version,string,-,v2.3.1,On-vehicle software version,IoT / VoC
SF-0084,Product SKU,SKU,sku_id,SKU ID,string,-,SKU-E60-BK,Unique SKU identifier,Order / retail / inventory
SF-0085,Product SKU,SKU,sku_name,SKU Name,string,-,E60 Matte Black,SKU display name,Order / retail
SF-0086,Product SKU,SKU,asp_cny,Average Selling Price (ASP),number,CNY,3299,Average unit selling price,Stockout loss / retail
SF-0087,Product SKU,SKU,hot_slow_flag,Hot/Slow Flag,enum,-,hot,Hot/normal/slow mover tag,Sell-through weekly report
SF-0088,Product SKU,SKU,substitute_sku_id,Substitute SKU,string,-,SKU-E60-GY,Substitute SKU mapping for stockouts,Order audit / Pack C
SF-0089,Product SKU,Competitor,competitor_brand,Competitor Brand,string,-,Yadea,Competitor brand name,Competitive intelligence report
SF-0090,Product SKU,Competitor,competitor_model,Competitor Model,string,-,Guan Neng XX,Competitor model name,Competitive intelligence report
SF-0091,Product SKU,Competitor,competitor_price_cny,Competitor Price,number,CNY,3699,Competitor list/promo price,Competitive intelligence report
